observation_date,CUSR0000SETB01
1995-01-01,100.900
1995-02-01,100.900
1995-03-01,100.200
1995-04-01,100.500
1995-05-01,101.600
1995-06-01,103.600
1995-07-01,101.200
1995-08-01,99.600
1995-09-01,98.100
1995-10-01,97.600
1995-11-01,95.800
1995-12-01,97.500
1996-01-01,101.300
1996-02-01,101.400
1996-03-01,104.000
1996-04-01,108.600
1996-05-01,109.700
1996-06-01,108.000
1996-07-01,106.100
1996-08-01,104.400
1996-09-01,104.400
1996-10-01,104.900
1996-11-01,107.200
1996-12-01,110.200
1997-01-01,110.600
1997-02-01,110.800
1997-03-01,108.600
1997-04-01,105.100
1997-05-01,101.400
1997-06-01,102.900
1997-07-01,101.200
1997-08-01,106.100
1997-09-01,108.700
1997-10-01,106.600
1997-11-01,104.400
1997-12-01,103.200
1998-01-01,99.400
1998-02-01,96.000
1998-03-01,91.700
1998-04-01,89.400
1998-05-01,91.200
1998-06-01,92.600
1998-07-01,92.300
1998-08-01,90.300
1998-09-01,89.700
1998-10-01,90.500
1998-11-01,89.400
1998-12-01,87.400
1999-01-01,86.700
1999-02-01,85.100
1999-03-01,87.700
1999-04-01,98.900
1999-05-01,97.500
1999-06-01,96.600
1999-07-01,100.700
1999-08-01,106.100
1999-09-01,109.900
1999-10-01,109.800
1999-11-01,108.500
1999-12-01,114.100
2000-01-01,115.900
2000-02-01,119.800
2000-03-01,133.200
2000-04-01,125.600
2000-05-01,123.600
2000-06-01,135.200
2000-07-01,133.700
2000-08-01,126.300
2000-09-01,134.200
2000-10-01,132.600
2000-11-01,131.800
2000-12-01,130.500
2001-01-01,130.600
2001-02-01,129.200
2001-03-01,125.600
2001-04-01,128.100
2001-05-01,140.100
2001-06-01,137.100
2001-07-01,123.000
2001-08-01,120.300
2001-09-01,130.900
2001-10-01,117.000
2001-11-01,104.100
2001-12-01,99.200
2002-01-01,100.500
2002-02-01,99.700
2002-03-01,107.800
2002-04-01,115.800
2002-05-01,116.500
2002-06-01,116.800
2002-07-01,118.500
2002-08-01,119.700
2002-09-01,120.600
2002-10-01,125.900
2002-11-01,125.100
2002-12-01,124.700
2003-01-01,137.100
2003-02-01,148.600
2003-03-01,147.300
2003-04-01,133.600
2003-05-01,119.000
2003-06-01,119.800
2003-07-01,125.100
2003-08-01,136.700
2003-09-01,146.500
2003-10-01,136.900
2003-11-01,136.200
2003-12-01,139.500
2004-01-01,148.300
2004-02-01,151.000
2004-03-01,151.200
2004-04-01,147.200
2004-05-01,154.600
2004-06-01,160.300
2004-07-01,158.200
2004-08-01,157.600
2004-09-01,161.300
2004-10-01,172.700
2004-11-01,179.200
2004-12-01,176.000
2005-01-01,166.900
2005-02-01,173.400
2005-03-01,177.500
2005-04-01,180.800
2005-05-01,171.900
2005-06-01,173.000
2005-07-01,190.600
2005-08-01,211.300
2005-09-01,251.000
2005-10-01,239.100
2005-11-01,202.000
2005-12-01,200.400
2006-01-01,213.200
2006-02-01,210.200
2006-03-01,208.300
2006-04-01,224.000
2006-05-01,227.500
2006-06-01,228.100
2006-07-01,245.300
2006-08-01,252.700
2006-09-01,221.300
2006-10-01,197.000
2006-11-01,195.000
2006-12-01,211.300
2007-01-01,205.361
2007-02-01,208.351
2007-03-01,222.804
2007-04-01,229.338
2007-05-01,240.407
2007-06-01,241.015
2007-07-01,242.158
2007-08-01,236.401
2007-09-01,244.482
2007-10-01,246.233
2007-11-01,268.067
2007-12-01,271.805
2008-01-01,273.485
2008-02-01,277.120
2008-03-01,279.234
2008-04-01,276.563
2008-05-01,289.883
2008-06-01,321.643
2008-07-01,334.055
2008-08-01,319.114
2008-09-01,321.466
2008-10-01,278.393
2008-11-01,191.822
2008-12-01,154.377
2009-01-01,160.815
2009-02-01,174.067
2009-03-01,166.814
2009-04-01,168.312
2009-05-01,177.057
2009-06-01,213.086
2009-07-01,211.649
2009-08-01,223.781
2009-09-01,226.214
2009-10-01,228.651
2009-11-01,238.246
2009-12-01,237.235
2010-01-01,242.036
2010-02-01,235.748
2010-03-01,233.103
2010-04-01,232.594
2010-05-01,227.765
2010-06-01,222.745
2010-07-01,229.026
2010-08-01,232.674
2010-09-01,235.661
2010-10-01,249.885
2010-11-01,256.596
2010-12-01,271.509
2011-01-01,275.816
2011-02-01,280.015
2011-03-01,294.915
2011-04-01,310.115
2011-05-01,314.859
2011-06-01,304.321
2011-07-01,304.901
2011-08-01,306.276
2011-09-01,309.168
2011-10-01,305.963
2011-11-01,308.587
2011-12-01,300.662
2012-01-01,306.170
2012-02-01,316.625
2012-03-01,319.198
2012-04-01,319.414
2012-05-01,303.692
2012-06-01,291.490
2012-07-01,287.505
2012-08-01,310.365
2012-09-01,326.789
2012-10-01,332.699
2012-11-01,315.264
2012-12-01,306.338
2013-01-01,306.734
2013-02-01,329.253
2013-03-01,310.442
2013-04-01,295.206
2013-05-01,293.131
2013-06-01,298.112
2013-07-01,298.754
2013-08-01,303.409
2013-09-01,297.390
2013-10-01,295.640
2013-11-01,297.183
2013-12-01,303.304
2014-01-01,308.400
2014-02-01,305.007
2014-03-01,300.141
2014-04-01,305.367
2014-05-01,301.296
2014-06-01,302.293
2014-07-01,299.785
2014-08-01,294.803
2014-09-01,287.003
2014-10-01,278.463
2014-11-01,262.282
2014-12-01,238.491
2015-01-01,199.553
2015-02-01,206.901
2015-03-01,214.684
2015-04-01,211.577
2015-05-01,225.281
2015-06-01,230.871
2015-07-01,231.775
2015-08-01,225.725
2015-09-01,201.935
2015-10-01,199.315
2015-11-01,198.984
2015-12-01,190.765
2016-01-01,181.445
2016-02-01,162.727
2016-03-01,175.164
2016-04-01,184.762
2016-05-01,187.627
2016-06-01,196.440
2016-07-01,185.486
2016-08-01,183.715
2016-09-01,189.766
2016-10-01,197.788
2016-11-01,199.220
2016-12-01,206.244
2017-01-01,217.892
2017-02-01,213.626
2017-03-01,210.690
2017-04-01,209.074
2017-05-01,197.848
2017-06-01,195.797
2017-07-01,191.889
2017-08-01,203.585
2017-09-01,228.252
2017-10-01,218.990
2017-11-01,228.908
2017-12-01,228.888
2018-01-01,235.325
2018-02-01,239.767
2018-03-01,231.325
2018-04-01,238.803
2018-05-01,242.344
2018-06-01,243.105
2018-07-01,241.377
2018-08-01,246.229
2018-09-01,250.369
2018-10-01,253.471
2018-11-01,238.309
2018-12-01,225.063
2019-01-01,208.730
2019-02-01,217.237
2019-03-01,230.013
2019-04-01,245.651
2019-05-01,242.557
2019-06-01,231.691
2019-07-01,235.098
2019-08-01,229.734
2019-09-01,228.230
2019-10-01,232.348
2019-11-01,236.924
2019-12-01,244.197
2020-01-01,242.397
2020-02-01,230.646
2020-03-01,204.901
2020-04-01,164.836
2020-05-01,160.261
2020-06-01,178.169
2020-07-01,185.072
2020-08-01,188.325
2020-09-01,193.069
2020-10-01,191.525
2020-11-01,191.823
2020-12-01,208.753
2021-01-01,221.457
2021-02-01,234.076
2021-03-01,250.828
2021-04-01,246.431
2021-05-01,250.207
2021-06-01,258.450
2021-07-01,262.373
2021-08-01,268.570
2021-09-01,274.224
2021-10-01,286.559
2021-11-01,303.209
2021-12-01,312.262
2022-01-01,311.988
2022-02-01,323.725
2022-03-01,369.801
2022-04-01,353.734
2022-05-01,371.837
2022-06-01,413.100
2022-07-01,376.184
2022-08-01,336.269
2022-09-01,324.545
2022-10-01,337.258
2022-11-01,335.333
2022-12-01,308.143
2023-01-01,317.691
2023-02-01,317.123
2023-03-01,304.286
2023-04-01,310.282
2023-05-01,298.880
2023-06-01,303.728
2023-07-01,300.583
2023-08-01,324.015
2023-09-01,334.484
2023-10-01,319.829
2023-11-01,306.352
2023-12-01,302.868
